rank	domain	rank_bucket	single_status	single_commit_success	single_commit_latency_ms	single_warning_count	single_error	single_reachable	attempt1_status	attempt1_commit_success	attempt1_commit_latency_ms	attempt1_warning_count	attempt1_error	attempt2_status	attempt2_commit_success	attempt2_commit_latency_ms	attempt2_warning_count	attempt2_error	attempt3_status	attempt3_commit_success	attempt3_commit_latency_ms	attempt3_warning_count	attempt3_error	attempt4_status	attempt4_commit_success	attempt4_commit_latency_ms	attempt4_warning_count	attempt4_error	rate_limit_429_count	hard_failure_count	warning_count	replay_stable	audit_timestamp	all_gates_pass
965	corriere.it	top_1_1000	0	false	21507	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://corriere.it/
Call log:
  - navigating to ""https://corriere.it/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:19:20Z	false
966	tsyndicate.com	top_1_1000	0	false	1536	1	"Error: Page.goto: net::ERR_ABORTED at https://tsyndicate.com/
Call log:
  - navigating to ""https://tsyndicate.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:19:10Z	false
967	nexusmods.com	top_1_1000	403	true	1901	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:19:11Z	false
968	warnerbros.com	top_1_1000	200	true	8605	0		true	200	true	6375	0		200	true	8837	0		200	true	6396	0		200	true	5736	0		0	0	0	true	2026-08-29T06:20:03Z	true
969	segment.io	top_1_1000	200	true	7208	0		true	200	true	7174	0		200	true	10730	0		200	true	6796	0		200	true	8103	0		0	0	0	true	2026-08-29T06:20:13Z	true
970	tplinknbu.com	top_1_1000	0	false	584	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tplinknbu.com/
Call log:
  - navigating to ""https://tplinknbu.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:19:18Z	false
971	xhamster46.desi	top_1_1000	0	false	21561	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://xhamster46.desi/
Call log:
  - navigating to ""https://xhamster46.desi/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:19:40Z	false
972	volcgslb.com	top_1_1000	0	false	510	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://volcgslb.com/
Call log:
  - navigating to ""https://volcgslb.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:19:19Z	false
973	presage.io	top_1_1000	0	false	1699	1	"Error: Page.goto: net::ERR_CERT_DATE_INVALID at https://presage.io/
Call log:
  - navigating to ""https://presage.io/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:19:21Z	false
974	caixa.gov.br	top_1_1000	200	true	20236	1		true	200	true	18285	1		200	true	30329	1		200	true	19723	1		200	true	23007	1		0	0	4	true	2026-08-29T06:21:27Z	true
