rank	domain	rank_bucket	source_list_id	source_sha256	syntax_eligible	reachable	main_http_status	main_commit_success	main_commit_latency_ms	warning_count	audit_timestamp
1076	flashscore.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1681	1	2026-08-28T08:17:16Z
1077	bfmtv.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1749	0	2026-08-28T08:17:16Z
1079	auvik.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2596	2	2026-08-28T08:17:16Z
1081	ultimate-guitar.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1584	1	2026-08-28T08:17:37Z
1086	ilovepdf.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	896	1	2026-08-28T08:17:37Z
1087	bund.de	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5426	0	2026-08-28T08:17:37Z
1089	crazygames.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1538	1	2026-08-28T08:17:58Z
1090	azure.net	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	12223	1	2026-08-28T08:17:58Z
1092	cpanel.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3252	1	2026-08-28T08:17:58Z
1095	riotgames.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5570	0	2026-08-28T08:17:58Z
1096	jimdo.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3315	0	2026-08-28T08:17:58Z
1098	cloudinary.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	872	1	2026-08-28T08:18:20Z
1099	aparat.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2863	1	2026-08-28T08:18:20Z
1100	split.io	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2734	1	2026-08-28T08:18:20Z
1102	franceinfo.fr	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1770	1	2026-08-28T08:18:20Z
1104	idnes.cz	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4231	1	2026-08-28T08:18:20Z
1106	lge.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2967	1	2026-08-28T08:18:35Z
1107	typeform.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2701	1	2026-08-28T08:18:35Z
1111	us.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2007	1	2026-08-28T08:18:35Z
1115	gsmarena.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2129	1	2026-08-28T08:18:48Z
1116	skysports.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2061	0	2026-08-28T08:18:48Z
1119	cookpad.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3277	1	2026-08-28T08:18:48Z
1120	bitdefender.net	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3610	1	2026-08-28T08:18:48Z
1124	usercentrics.eu	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2882	1	2026-08-28T08:19:18Z
1127	conviva.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2038	1	2026-08-28T08:19:18Z
1129	fortune.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1125	0	2026-08-28T08:19:39Z
1130	finn.no	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2401	1	2026-08-28T08:19:39Z
1132	usps.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3144	1	2026-08-28T08:19:39Z
1138	he.net	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1053	1	2026-08-28T08:20:00Z
1140	lanacion.com.ar	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3195	2	2026-08-28T08:20:00Z
1141	moe.video	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1400	1	2026-08-28T08:20:00Z
1142	vivo.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	228	0	2026-08-28T08:20:00Z
1143	alipay.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	479	0	2026-08-28T08:20:00Z
1149	meethue.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	4947	1	2026-08-28T08:20:14Z
1153	nsone.net	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5778	1	2026-08-28T08:20:35Z
1157	letsencrypt.org	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1169	0	2026-08-28T08:20:35Z
1158	xhname.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1564	0	2026-08-28T08:20:35Z
1159	coursera.org	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1997	0	2026-08-28T08:20:35Z
1161	spamhaus.org	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1962	1	2026-08-28T08:20:56Z
1163	dafont.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2803	1	2026-08-28T08:20:56Z
1165	xiaohongshu.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	496	0	2026-08-28T08:20:56Z
1167	wetter.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2224	0	2026-08-28T08:20:56Z
1168	dribbble.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	202	true	1347	0	2026-08-28T08:20:56Z
1169	gismeteo.ru	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	1436	1	2026-08-28T08:21:17Z
1170	upenn.edu	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	570	2	2026-08-28T08:21:17Z
1171	sectigo.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3476	1	2026-08-28T08:21:17Z
1174	cam.ac.uk	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2057	1	2026-08-28T08:21:17Z
1175	psychologytoday.com	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3684	0	2026-08-28T08:21:17Z
1178	hotpepper.jp	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2518	1	2026-08-28T08:21:38Z
1179	megafon.ru	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	5345	1	2026-08-28T08:21:38Z
1180	tabor.ru	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2519	0	2026-08-28T08:21:38Z
1182	admin.ch	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	3185	0	2026-08-28T08:21:38Z
1185	itmedia.co.jp	rank_1001_100000	46W9X	264830dfe5bbf84daeb23d482123d0a7eab1f6ee6830f08984c563be18d998aa	true	true	200	true	2219	1	2026-08-28T08:22:00Z
