rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
100037	infinity-message.com	rank_100001_1000000	https://infinity-message.com/	True	False	403	815	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:51:11Z
100038	everydayfeminism.com	rank_100001_1000000	https://everydayfeminism.com/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_REFUSED at https://everydayfeminism.com/
Call log:
  - navigating to ""https://everydayfeminism.com/"", waiting until ""commit""
"	False	2026-08-28T08:51:11Z
100039	mall.hr	rank_100001_1000000	https://mall.hr/	True	False	403	848	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:51:11Z
100040	ivyiot.io	rank_100001_1000000	https://ivyiot.io/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CERT_COMMON_NAME_INVALID at https://ivyiot.io/
Call log:
  - navigating to ""https://ivyiot.io/"", waiting until ""commit""
"	False	2026-08-28T08:51:11Z
100041	hyperledger.org	rank_100001_1000000	https://hyperledger.org/	True	True	200	4495	False	0	0	1			True	2026-08-28T08:51:33Z
100042	memo.ru	rank_100001_1000000	https://memo.ru/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:51:33Z
100043	vmcpool.io	rank_100001_1000000	https://vmcpool.io/	True	True	200	1301	False	0	0	1			True	2026-08-28T08:51:33Z
100044	realityrift.co	rank_100001_1000000	https://realityrift.co/	True	True	200	1828	True	2382	0	0			True	2026-08-28T08:51:33Z
100045	savingforcollege.com	rank_100001_1000000	https://savingforcollege.com/	True	True	200	1812	True	9053	4	1			True	2026-08-28T08:51:33Z
100046	foropuros.com	rank_100001_1000000	https://foropuros.com/	True	True	200	4388	True	12873	0	0			True	2026-08-28T08:51:33Z
100047	macrolibrarsi.it	rank_100001_1000000	https://macrolibrarsi.it/	True	True	200	2626	True	9415	0	0			True	2026-08-28T08:51:33Z
100048	fastputon.com	rank_100001_1000000	https://fastputon.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:51:33Z
