old_domain	old_rank	bucket	candidate_rank	candidate_domain	candidate_order	qualification_status	actionability	cross_mode	contextual	contextual_pair_group	target_event_index	source_plan_sha	retirement_rule	candidate_retry_count	evidence_root
duckdns.org	267	top_1_1000	949	netlify.app	1	QUALIFIED	3/3 PASS	8/8 PASS	12/12 PASS	seed001_heavy	4	3bba638e9b7b942de8bb23a19b3c1960e1ba526cfd81211a563067f896c835fb	RULE_A	0	/home/etip/datasets/diagnostics/contextual_batch_replacement_20260907/candidates/949_netlify.app
crpt.ru	322	top_1_1000	953	nationalgeographic.com	2	QUALIFIED	3/3 PASS	8/8 PASS	12/12 PASS	seed001_medium	1	bedaf19d80433aa636971be6f9250fd8751d3c6c1f774acb87e6c6c7956c19d9	RULE_B	0	/home/etip/datasets/diagnostics/contextual_batch_replacement_20260907/candidates/953_nationalgeographic.com
